ticket_description,category,priority
"LAN connection is not detected after the latest system update, this is a occasionally issue (ticket 394)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a blocking operations issue (ticket 395)",Network,High
"Cannot connect to WiFi network reported by several employees, this is a affects productivity issue (ticket 396)",Network,Medium
"VPN connection keeps disconnecting affecting critical business operations, this is a non-critical issue (ticket 397)",Network,Low
"Packet loss occurs frequently after the latest system update, this is a moderate impact issue (ticket 398)",Network,Medium
"Network outage reported affecting critical business operations, this is a low impact issue (ticket 399)",Network,Low
"LAN connection is not detected intermittently throughout the day, this is a non-critical issue (ticket 400)",Network,Low
"Cannot connect to WiFi network on the office laptop, this is a low impact issue (ticket 401)",Network,Low
"Cannot connect to WiFi network on the office laptop, this is a system down issue (ticket 402)",Network,High
"Internet connection is very slow for multiple users in the same department, this is a critical issue issue (ticket 403)",Network,High
"LAN connection is not detected affecting critical business operations, this is a critical issue issue (ticket 404)",Network,High
"Network outage reported intermittently throughout the day, this is a system down issue (ticket 405)",Network,High
"LAN connection is not detected when connected to office network, this is a occasionally issue (ticket 406)",Network,Low
"Packet loss occurs frequently reported by several employees, this is a system down issue (ticket 407)",Network,High
"Network outage reported after recent configuration changes, this is a non-critical issue (ticket 408)",Network,Low
"Network outage reported on the office laptop, this is a urgent issue (ticket 409)",Network,High
"Packet loss occurs frequently after recent configuration changes, this is a occasionally issue (ticket 410)",Network,Low
"VPN connection keeps disconnecting after recent configuration changes, this is a system down issue (ticket 411)",Network,High
"VPN connection keeps disconnecting reported by several employees, this is a blocking operations issue (ticket 412)",Network,High
"Packet loss occurs frequently for multiple users in the same department, this is a moderate impact issue (ticket 413)",Network,Medium
"LAN connection is not detected when connected to office network, this is a system down issue (ticket 414)",Network,High
"Packet loss occurs frequently reported by several employees, this is a non-critical issue (ticket 415)",Network,Low
"Internet connection is very slow after recent configuration changes, this is a critical issue issue (ticket 416)",Network,High
"Network outage reported affecting critical business operations, this is a urgent issue (ticket 417)",Network,High
"Internet connection is very slow after the latest system update, this is a occasionally issue (ticket 418)",Network,Low
"Packet loss occurs frequently when connected to office network, this is a occasionally issue (ticket 419)",Network,Low
"Packet loss occurs frequently after recent configuration changes, this is a critical issue issue (ticket 420)",Network,High
"High network latency detected since this morning, this is a non-critical issue (ticket 421)",Network,Low
"Cannot connect to WiFi network when connected to office network, this is a urgent issue (ticket 422)",Network,High
"Cannot connect to WiFi network since this morning, this is a minor issue (ticket 423)",Network,Low
"Packet loss occurs frequently intermittently throughout the day, this is a affects productivity issue (ticket 424)",Network,Medium
"Internet connection is very slow for multiple users in the same department, this is a blocking operations issue (ticket 425)",Network,High
"Network outage reported after the latest system update, this is a needs attention issue (ticket 426)",Network,Medium
"High network latency detected reported by several employees, this is a minor issue (ticket 427)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a occasionally issue (ticket 428)",Network,Low
"LAN connection is not detected reported by several employees, this is a affects productivity issue (ticket 429)",Network,Medium
"Packet loss occurs frequently for multiple users in the same department, this is a minor issue (ticket 430)",Network,Low
"Internet connection is very slow on the office laptop, this is a low impact issue (ticket 431)",Network,Low
"Internet connection is very slow during peak working hours, this is a blocking operations issue (ticket 432)",Network,High
"LAN connection is not detected affecting critical business operations, this is a occasionally issue (ticket 433)",Network,Low
"Network outage reported after the latest system update, this is a minor issue (ticket 434)",Network,Low
"LAN connection is not detected intermittently throughout the day, this is a low impact issue (ticket 435)",Network,Low
"Cannot connect to WiFi network during peak working hours, this is a needs attention issue (ticket 436)",Network,Medium
"Internet connection is very slow affecting critical business operations, this is a moderate impact issue (ticket 437)",Network,Medium
"LAN connection is not detected since this morning, this is a low impact issue (ticket 438)",Network,Low
"Internet connection is very slow when connected to office network, this is a urgent issue (ticket 439)",Network,High
"Network outage reported since this morning, this is a minor issue (ticket 440)",Network,Low
"VPN connection keeps disconnecting on the office laptop, this is a moderate impact issue (ticket 441)",Network,Medium
"Internet connection is very slow reported by several employees, this is a needs attention issue (ticket 442)",Network,Medium
"Cannot connect to WiFi network since this morning, this is a non-critical issue (ticket 443)",Network,Low
"Packet loss occurs frequently after the latest system update, this is a blocking operations issue (ticket 444)",Network,High
"Network outage reported after recent configuration changes, this is a affects productivity issue (ticket 445)",Network,Medium
"Internet connection is very slow after recent configuration changes, this is a occasionally issue (ticket 446)",Network,Low
"Internet connection is very slow on the office laptop, this is a urgent issue (ticket 447)",Network,High
"VPN connection keeps disconnecting affecting critical business operations, this is a low impact issue (ticket 448)",Network,Low
"VPN connection keeps disconnecting since this morning, this is a affects productivity issue (ticket 449)",Network,Medium
"VPN connection keeps disconnecting intermittently throughout the day, this is a critical issue issue (ticket 450)",Network,High
"Packet loss occurs frequently intermittently throughout the day, this is a non-critical issue (ticket 451)",Network,Low
"High network latency detected when connected to office network, this is a needs attention issue (ticket 452)",Network,Medium
"VPN connection keeps disconnecting after the latest system update, this is a needs attention issue (ticket 453)",Network,Medium
"VPN connection keeps disconnecting affecting critical business operations, this is a minor issue (ticket 454)",Network,Low
"Network outage reported when connected to office network, this is a occasionally issue (ticket 455)",Network,Low
"LAN connection is not detected for multiple users in the same department, this is a minor issue (ticket 456)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a low impact issue (ticket 457)",Network,Low
"Cannot connect to WiFi network after recent configuration changes, this is a minor issue (ticket 458)",Network,Low
"Network outage reported intermittently throughout the day, this is a needs attention issue (ticket 459)",Network,Medium
"VPN connection keeps disconnecting since this morning, this is a low impact issue (ticket 460)",Network,Low
"VPN connection keeps disconnecting affecting critical business operations, this is a system down issue (ticket 461)",Network,High
"Internet connection is very slow after the latest system update, this is a blocking operations issue (ticket 462)",Network,High
"Internet connection is very slow after the latest system update, this is a non-critical issue (ticket 463)",Network,Low
"VPN connection keeps disconnecting when connected to office network, this is a critical issue issue (ticket 464)",Network,High
"LAN connection is not detected after the latest system update, this is a needs attention issue (ticket 465)",Network,Medium
"VPN connection keeps disconnecting after recent configuration changes, this is a moderate impact issue (ticket 466)",Network,Medium
"Cannot connect to WiFi network affecting critical business operations, this is a non-critical issue (ticket 467)",Network,Low
"Network outage reported for multiple users in the same department, this is a minor issue (ticket 468)",Network,Low
"Internet connection is very slow after the latest system update, this is a needs attention issue (ticket 469)",Network,Medium
"LAN connection is not detected during peak working hours, this is a non-critical issue (ticket 470)",Network,Low
"Network outage reported after recent configuration changes, this is a non-critical issue (ticket 471)",Network,Low
"Network outage reported after recent configuration changes, this is a occasionally issue (ticket 472)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a moderate impact issue (ticket 473)",Network,Medium
"High network latency detected during peak working hours, this is a urgent issue (ticket 474)",Network,High
"Network outage reported intermittently throughout the day, this is a moderate impact issue (ticket 475)",Network,Medium
"LAN connection is not detected for multiple users in the same department, this is a system down issue (ticket 476)",Network,High
"Network outage reported after the latest system update, this is a moderate impact issue (ticket 477)",Network,Medium
"Cannot connect to WiFi network during peak working hours, this is a system down issue (ticket 478)",Network,High
"Cannot connect to WiFi network after recent configuration changes, this is a non-critical issue (ticket 479)",Network,Low
"High network latency detected affecting critical business operations, this is a minor issue (ticket 480)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a low impact issue (ticket 481)",Network,Low
"LAN connection is not detected when connected to office network, this is a moderate impact issue (ticket 482)",Network,Medium
"Internet connection is very slow after the latest system update, this is a critical issue issue (ticket 483)",Network,High
"High network latency detected after recent configuration changes, this is a needs attention issue (ticket 484)",Network,Medium
"Cannot connect to WiFi network affecting critical business operations, this is a affects productivity issue (ticket 485)",Network,Medium
"Packet loss occurs frequently after the latest system update, this is a minor issue (ticket 486)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a needs attention issue (ticket 487)",Network,Medium
"Cannot connect to WiFi network after the latest system update, this is a occasionally issue (ticket 488)",Network,Low
"VPN connection keeps disconnecting affecting critical business operations, this is a critical issue issue (ticket 489)",Network,High
"VPN connection keeps disconnecting on the office laptop, this is a moderate impact issue (ticket 490)",Network,Medium
"VPN connection keeps disconnecting after the latest system update, this is a moderate impact issue (ticket 491)",Network,Medium
"LAN connection is not detected during peak working hours, this is a affects productivity issue (ticket 492)",Network,Medium
"LAN connection is not detected reported by several employees, this is a non-critical issue (ticket 493)",Network,Low
"Packet loss occurs frequently reported by several employees, this is a minor issue (ticket 494)",Network,Low
"Internet connection is very slow since this morning, this is a urgent issue (ticket 495)",Network,High
"Network outage reported on the office laptop, this is a needs attention issue (ticket 496)",Network,Medium
"LAN connection is not detected since this morning, this is a moderate impact issue (ticket 497)",Network,Medium
"LAN connection is not detected for multiple users in the same department, this is a needs attention issue (ticket 498)",Network,Medium
"High network latency detected on the office laptop, this is a blocking operations issue (ticket 499)",Network,High
"VPN connection keeps disconnecting after recent configuration changes, this is a minor issue (ticket 500)",Network,Low
"Cannot connect to WiFi network after recent configuration changes, this is a low impact issue (ticket 501)",Network,Low
"Cannot connect to WiFi network intermittently throughout the day, this is a needs attention issue (ticket 502)",Network,Medium
"Packet loss occurs frequently intermittently throughout the day, this is a needs attention issue (ticket 503)",Network,Medium
"High network latency detected after the latest system update, this is a moderate impact issue (ticket 504)",Network,Medium
"LAN connection is not detected during peak working hours, this is a low impact issue (ticket 505)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a occasionally issue (ticket 506)",Network,Low
"Internet connection is very slow since this morning, this is a low impact issue (ticket 507)",Network,Low
"Packet loss occurs frequently reported by several employees, this is a occasionally issue (ticket 508)",Network,Low
"Packet loss occurs frequently intermittently throughout the day, this is a urgent issue (ticket 509)",Network,High
"Cannot connect to WiFi network after the latest system update, this is a moderate impact issue (ticket 510)",Network,Medium
"High network latency detected after recent configuration changes, this is a blocking operations issue (ticket 511)",Network,High
"Internet connection is very slow during peak working hours, this is a blocking operations issue (ticket 512)",Network,High
"Cannot connect to WiFi network on the office laptop, this is a affects productivity issue (ticket 513)",Network,Medium
"Internet connection is very slow for multiple users in the same department, this is a moderate impact issue (ticket 514)",Network,Medium
"Network outage reported after recent configuration changes, this is a minor issue (ticket 515)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a non-critical issue (ticket 516)",Network,Low
"Network outage reported intermittently throughout the day, this is a needs attention issue (ticket 517)",Network,Medium
"Internet connection is very slow when connected to office network, this is a occasionally issue (ticket 518)",Network,Low
"VPN connection keeps disconnecting affecting critical business operations, this is a low impact issue (ticket 519)",Network,Low
"LAN connection is not detected after recent configuration changes, this is a needs attention issue (ticket 520)",Network,Medium
"Packet loss occurs frequently reported by several employees, this is a affects productivity issue (ticket 521)",Network,Medium
"Cannot connect to WiFi network during peak working hours, this is a non-critical issue (ticket 522)",Network,Low
"LAN connection is not detected intermittently throughout the day, this is a affects productivity issue (ticket 523)",Network,Medium
"LAN connection is not detected affecting critical business operations, this is a minor issue (ticket 524)",Network,Low
"Internet connection is very slow since this morning, this is a non-critical issue (ticket 525)",Network,Low
"Packet loss occurs frequently after recent configuration changes, this is a affects productivity issue (ticket 526)",Network,Medium
"LAN connection is not detected affecting critical business operations, this is a non-critical issue (ticket 527)",Network,Low
"Cannot connect to WiFi network when connected to office network, this is a urgent issue (ticket 528)",Network,High
"LAN connection is not detected intermittently throughout the day, this is a moderate impact issue (ticket 529)",Network,Medium
"LAN connection is not detected after recent configuration changes, this is a needs attention issue (ticket 530)",Network,Medium
"High network latency detected since this morning, this is a minor issue (ticket 531)",Network,Low
"High network latency detected reported by several employees, this is a minor issue (ticket 532)",Network,Low
"LAN connection is not detected after recent configuration changes, this is a occasionally issue (ticket 533)",Network,Low
"Network outage reported since this morning, this is a affects productivity issue (ticket 534)",Network,Medium
"LAN connection is not detected reported by several employees, this is a needs attention issue (ticket 535)",Network,Medium
"Cannot connect to WiFi network on the office laptop, this is a minor issue (ticket 536)",Network,Low
"Cannot connect to WiFi network since this morning, this is a low impact issue (ticket 537)",Network,Low
"Cannot connect to WiFi network when connected to office network, this is a needs attention issue (ticket 538)",Network,Medium
"LAN connection is not detected reported by several employees, this is a critical issue issue (ticket 539)",Network,High
"Network outage reported after the latest system update, this is a moderate impact issue (ticket 540)",Network,Medium
"VPN connection keeps disconnecting after recent configuration changes, this is a needs attention issue (ticket 541)",Network,Medium
"Cannot connect to WiFi network after recent configuration changes, this is a urgent issue (ticket 542)",Network,High
"LAN connection is not detected intermittently throughout the day, this is a moderate impact issue (ticket 543)",Network,Medium
"Network outage reported for multiple users in the same department, this is a affects productivity issue (ticket 544)",Network,Medium
"Cannot connect to WiFi network for multiple users in the same department, this is a affects productivity issue (ticket 545)",Network,Medium
"VPN connection keeps disconnecting for multiple users in the same department, this is a moderate impact issue (ticket 546)",Network,Medium
"Network outage reported after recent configuration changes, this is a non-critical issue (ticket 547)",Network,Low
"LAN connection is not detected for multiple users in the same department, this is a low impact issue (ticket 548)",Network,Low
"High network latency detected intermittently throughout the day, this is a system down issue (ticket 549)",Network,High
"VPN connection keeps disconnecting since this morning, this is a minor issue (ticket 550)",Network,Low
"VPN connection keeps disconnecting after recent configuration changes, this is a moderate impact issue (ticket 551)",Network,Medium
"High network latency detected on the office laptop, this is a non-critical issue (ticket 552)",Network,Low
"LAN connection is not detected for multiple users in the same department, this is a occasionally issue (ticket 553)",Network,Low
"Cannot connect to WiFi network since this morning, this is a moderate impact issue (ticket 554)",Network,Medium
"Cannot connect to WiFi network on the office laptop, this is a low impact issue (ticket 555)",Network,Low
"VPN connection keeps disconnecting after recent configuration changes, this is a occasionally issue (ticket 556)",Network,Low
"Internet connection is very slow affecting critical business operations, this is a system down issue (ticket 557)",Network,High
"High network latency detected after recent configuration changes, this is a affects productivity issue (ticket 558)",Network,Medium
"Packet loss occurs frequently for multiple users in the same department, this is a minor issue (ticket 559)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a affects productivity issue (ticket 560)",Network,Medium
"LAN connection is not detected since this morning, this is a system down issue (ticket 561)",Network,High
"High network latency detected after the latest system update, this is a critical issue issue (ticket 562)",Network,High
"Packet loss occurs frequently when connected to office network, this is a affects productivity issue (ticket 563)",Network,Medium
"Network outage reported for multiple users in the same department, this is a critical issue issue (ticket 564)",Network,High
"VPN connection keeps disconnecting reported by several employees, this is a needs attention issue (ticket 565)",Network,Medium
"VPN connection keeps disconnecting after recent configuration changes, this is a blocking operations issue (ticket 566)",Network,High
"Cannot connect to WiFi network affecting critical business operations, this is a affects productivity issue (ticket 567)",Network,Medium
"Packet loss occurs frequently during peak working hours, this is a low impact issue (ticket 568)",Network,Low
"Network outage reported for multiple users in the same department, this is a affects productivity issue (ticket 569)",Network,Medium
"Network outage reported intermittently throughout the day, this is a moderate impact issue (ticket 570)",Network,Medium
"Network outage reported on the office laptop, this is a low impact issue (ticket 571)",Network,Low
"Packet loss occurs frequently when connected to office network, this is a affects productivity issue (ticket 572)",Network,Medium
"High network latency detected during peak working hours, this is a occasionally issue (ticket 573)",Network,Low
"High network latency detected intermittently throughout the day, this is a critical issue issue (ticket 574)",Network,High
"VPN connection keeps disconnecting when connected to office network, this is a non-critical issue (ticket 575)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a moderate impact issue (ticket 576)",Network,Medium
"Internet connection is very slow for multiple users in the same department, this is a moderate impact issue (ticket 577)",Network,Medium
"Cannot connect to WiFi network since this morning, this is a needs attention issue (ticket 578)",Network,Medium
"VPN connection keeps disconnecting after the latest system update, this is a non-critical issue (ticket 579)",Network,Low
"Network outage reported during peak working hours, this is a needs attention issue (ticket 580)",Network,Medium
"VPN connection keeps disconnecting reported by several employees, this is a occasionally issue (ticket 581)",Network,Low
"High network latency detected after the latest system update, this is a moderate impact issue (ticket 582)",Network,Medium
"VPN connection keeps disconnecting when connected to office network, this is a needs attention issue (ticket 583)",Network,Medium
"Packet loss occurs frequently affecting critical business operations, this is a system down issue (ticket 584)",Network,High
"Packet loss occurs frequently on the office laptop, this is a moderate impact issue (ticket 585)",Network,Medium
"Packet loss occurs frequently during peak working hours, this is a moderate impact issue (ticket 586)",Network,Medium
"Network outage reported intermittently throughout the day, this is a minor issue (ticket 587)",Network,Low
"Internet connection is very slow affecting critical business operations, this is a system down issue (ticket 588)",Network,High
"LAN connection is not detected affecting critical business operations, this is a non-critical issue (ticket 589)",Network,Low
"Packet loss occurs frequently affecting critical business operations, this is a occasionally issue (ticket 590)",Network,Low
"Network outage reported reported by several employees, this is a moderate impact issue (ticket 591)",Network,Medium
"High network latency detected since this morning, this is a moderate impact issue (ticket 592)",Network,Medium
"High network latency detected after recent configuration changes, this is a moderate impact issue (ticket 593)",Network,Medium
"High network latency detected for multiple users in the same department, this is a needs attention issue (ticket 594)",Network,Medium
"VPN connection keeps disconnecting since this morning, this is a moderate impact issue (ticket 595)",Network,Medium
"Internet connection is very slow since this morning, this is a minor issue (ticket 596)",Network,Low
"LAN connection is not detected since this morning, this is a critical issue issue (ticket 597)",Network,High
"High network latency detected since this morning, this is a occasionally issue (ticket 598)",Network,Low
"Packet loss occurs frequently after the latest system update, this is a moderate impact issue (ticket 599)",Network,Medium
"Network outage reported when connected to office network, this is a low impact issue (ticket 600)",Network,Low
"High network latency detected when connected to office network, this is a occasionally issue (ticket 601)",Network,Low
"Network outage reported intermittently throughout the day, this is a low impact issue (ticket 602)",Network,Low
"LAN connection is not detected after the latest system update, this is a affects productivity issue (ticket 603)",Network,Medium
"Packet loss occurs frequently since this morning, this is a needs attention issue (ticket 604)",Network,Medium
"High network latency detected affecting critical business operations, this is a low impact issue (ticket 605)",Network,Low
"Packet loss occurs frequently on the office laptop, this is a non-critical issue (ticket 606)",Network,Low
"Cannot connect to WiFi network for multiple users in the same department, this is a minor issue (ticket 607)",Network,Low
"Internet connection is very slow when connected to office network, this is a affects productivity issue (ticket 608)",Network,Medium
"Cannot connect to WiFi network on the office laptop, this is a minor issue (ticket 609)",Network,Low
"High network latency detected reported by several employees, this is a affects productivity issue (ticket 610)",Network,Medium
"Cannot connect to WiFi network since this morning, this is a occasionally issue (ticket 611)",Network,Low
"LAN connection is not detected on the office laptop, this is a affects productivity issue (ticket 612)",Network,Medium
"Cannot connect to WiFi network affecting critical business operations, this is a system down issue (ticket 613)",Network,High
"Packet loss occurs frequently reported by several employees, this is a non-critical issue (ticket 614)",Network,Low
"Cannot connect to WiFi network for multiple users in the same department, this is a system down issue (ticket 615)",Network,High
"High network latency detected for multiple users in the same department, this is a occasionally issue (ticket 616)",Network,Low
"Network outage reported when connected to office network, this is a affects productivity issue (ticket 617)",Network,Medium
"VPN connection keeps disconnecting when connected to office network, this is a needs attention issue (ticket 618)",Network,Medium
"Network outage reported when connected to office network, this is a non-critical issue (ticket 619)",Network,Low
"High network latency detected after the latest system update, this is a needs attention issue (ticket 620)",Network,Medium
"Cannot connect to WiFi network on the office laptop, this is a occasionally issue (ticket 621)",Network,Low
"Packet loss occurs frequently after recent configuration changes, this is a blocking operations issue (ticket 622)",Network,High
"High network latency detected affecting critical business operations, this is a needs attention issue (ticket 623)",Network,Medium
"Cannot connect to WiFi network for multiple users in the same department, this is a minor issue (ticket 624)",Network,Low
"High network latency detected intermittently throughout the day, this is a occasionally issue (ticket 625)",Network,Low
"Internet connection is very slow for multiple users in the same department, this is a minor issue (ticket 626)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a occasionally issue (ticket 627)",Network,Low
"High network latency detected on the office laptop, this is a urgent issue (ticket 628)",Network,High
"VPN connection keeps disconnecting since this morning, this is a occasionally issue (ticket 629)",Network,Low
"Network outage reported during peak working hours, this is a needs attention issue (ticket 630)",Network,Medium
"Cannot connect to WiFi network reported by several employees, this is a needs attention issue (ticket 631)",Network,Medium
"Cannot connect to WiFi network affecting critical business operations, this is a non-critical issue (ticket 632)",Network,Low
"High network latency detected after recent configuration changes, this is a needs attention issue (ticket 633)",Network,Medium
"VPN connection keeps disconnecting for multiple users in the same department, this is a low impact issue (ticket 634)",Network,Low
"High network latency detected during peak working hours, this is a blocking operations issue (ticket 635)",Network,High
"Packet loss occurs frequently intermittently throughout the day, this is a urgent issue (ticket 636)",Network,High
"VPN connection keeps disconnecting when connected to office network, this is a occasionally issue (ticket 637)",Network,Low
"Network outage reported after the latest system update, this is a low impact issue (ticket 638)",Network,Low
"VPN connection keeps disconnecting after the latest system update, this is a occasionally issue (ticket 639)",Network,Low
"High network latency detected reported by several employees, this is a blocking operations issue (ticket 640)",Network,High
"LAN connection is not detected intermittently throughout the day, this is a low impact issue (ticket 641)",Network,Low
"Network outage reported after recent configuration changes, this is a moderate impact issue (ticket 642)",Network,Medium
"Packet loss occurs frequently intermittently throughout the day, this is a low impact issue (ticket 643)",Network,Low
"Cannot connect to WiFi network affecting critical business operations, this is a critical issue issue (ticket 644)",Network,High
"LAN connection is not detected since this morning, this is a critical issue issue (ticket 645)",Network,High
"Packet loss occurs frequently since this morning, this is a needs attention issue (ticket 646)",Network,Medium
"Cannot connect to WiFi network on the office laptop, this is a occasionally issue (ticket 647)",Network,Low
"Internet connection is very slow on the office laptop, this is a needs attention issue (ticket 648)",Network,Medium
"Internet connection is very slow reported by several employees, this is a moderate impact issue (ticket 649)",Network,Medium
"High network latency detected after recent configuration changes, this is a low impact issue (ticket 650)",Network,Low
"Internet connection is very slow since this morning, this is a needs attention issue (ticket 651)",Network,Medium
"LAN connection is not detected for multiple users in the same department, this is a low impact issue (ticket 652)",Network,Low
"Packet loss occurs frequently after the latest system update, this is a minor issue (ticket 653)",Network,Low
"LAN connection is not detected after the latest system update, this is a non-critical issue (ticket 654)",Network,Low
"Packet loss occurs frequently intermittently throughout the day, this is a low impact issue (ticket 655)",Network,Low
"Internet connection is very slow intermittently throughout the day, this is a blocking operations issue (ticket 656)",Network,High
"LAN connection is not detected on the office laptop, this is a system down issue (ticket 657)",Network,High
"VPN connection keeps disconnecting during peak working hours, this is a moderate impact issue (ticket 658)",Network,Medium
"Packet loss occurs frequently since this morning, this is a low impact issue (ticket 659)",Network,Low
"High network latency detected affecting critical business operations, this is a moderate impact issue (ticket 660)",Network,Medium
"Internet connection is very slow after the latest system update, this is a low impact issue (ticket 661)",Network,Low
"Network outage reported intermittently throughout the day, this is a affects productivity issue (ticket 662)",Network,Medium
"LAN connection is not detected since this morning, this is a low impact issue (ticket 663)",Network,Low
"VPN connection keeps disconnecting since this morning, this is a urgent issue (ticket 664)",Network,High
"LAN connection is not detected reported by several employees, this is a affects productivity issue (ticket 665)",Network,Medium
"Packet loss occurs frequently intermittently throughout the day, this is a occasionally issue (ticket 666)",Network,Low
"LAN connection is not detected after the latest system update, this is a moderate impact issue (ticket 667)",Network,Medium
"Packet loss occurs frequently when connected to office network, this is a urgent issue (ticket 668)",Network,High
"Cannot connect to WiFi network reported by several employees, this is a low impact issue (ticket 669)",Network,Low
"Network outage reported affecting critical business operations, this is a occasionally issue (ticket 670)",Network,Low
"Packet loss occurs frequently during peak working hours, this is a needs attention issue (ticket 671)",Network,Medium
"Internet connection is very slow during peak working hours, this is a minor issue (ticket 672)",Network,Low
"VPN connection keeps disconnecting reported by several employees, this is a moderate impact issue (ticket 673)",Network,Medium
"High network latency detected intermittently throughout the day, this is a non-critical issue (ticket 674)",Network,Low
"Packet loss occurs frequently after recent configuration changes, this is a needs attention issue (ticket 675)",Network,Medium
"LAN connection is not detected when connected to office network, this is a low impact issue (ticket 676)",Network,Low
"Internet connection is very slow reported by several employees, this is a occasionally issue (ticket 677)",Network,Low
"Network outage reported during peak working hours, this is a occasionally issue (ticket 678)",Network,Low
"High network latency detected after the latest system update, this is a needs attention issue (ticket 679)",Network,Medium
"VPN connection keeps disconnecting during peak working hours, this is a non-critical issue (ticket 680)",Network,Low
"High network latency detected intermittently throughout the day, this is a affects productivity issue (ticket 681)",Network,Medium
"Cannot connect to WiFi network during peak working hours, this is a low impact issue (ticket 682)",Network,Low
"LAN connection is not detected affecting critical business operations, this is a affects productivity issue (ticket 683)",Network,Medium
"Internet connection is very slow during peak working hours, this is a minor issue (ticket 684)",Network,Low
"LAN connection is not detected reported by several employees, this is a needs attention issue (ticket 685)",Network,Medium
"Internet connection is very slow for multiple users in the same department, this is a minor issue (ticket 686)",Network,Low
"Network outage reported affecting critical business operations, this is a system down issue (ticket 687)",Network,High
"LAN connection is not detected affecting critical business operations, this is a low impact issue (ticket 688)",Network,Low
"Cannot connect to WiFi network after the latest system update, this is a non-critical issue (ticket 689)",Network,Low
"High network latency detected after the latest system update, this is a low impact issue (ticket 690)",Network,Low
"VPN connection keeps disconnecting when connected to office network, this is a minor issue (ticket 691)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a blocking operations issue (ticket 692)",Network,High
"LAN connection is not detected reported by several employees, this is a minor issue (ticket 693)",Network,Low
"Cannot connect to WiFi network for multiple users in the same department, this is a low impact issue (ticket 694)",Network,Low
"VPN connection keeps disconnecting reported by several employees, this is a non-critical issue (ticket 695)",Network,Low
"High network latency detected intermittently throughout the day, this is a occasionally issue (ticket 696)",Network,Low
"VPN connection keeps disconnecting intermittently throughout the day, this is a moderate impact issue (ticket 697)",Network,Medium
"Cannot connect to WiFi network after recent configuration changes, this is a low impact issue (ticket 698)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a moderate impact issue (ticket 699)",Network,Medium
"High network latency detected reported by several employees, this is a needs attention issue (ticket 700)",Network,Medium
"High network latency detected for multiple users in the same department, this is a blocking operations issue (ticket 701)",Network,High
"VPN connection keeps disconnecting during peak working hours, this is a system down issue (ticket 702)",Network,High
"LAN connection is not detected affecting critical business operations, this is a minor issue (ticket 703)",Network,Low
"Network outage reported after recent configuration changes, this is a system down issue (ticket 704)",Network,High
"High network latency detected for multiple users in the same department, this is a critical issue issue (ticket 705)",Network,High
"Packet loss occurs frequently when connected to office network, this is a affects productivity issue (ticket 706)",Network,Medium
"Network outage reported for multiple users in the same department, this is a occasionally issue (ticket 707)",Network,Low
"Network outage reported when connected to office network, this is a affects productivity issue (ticket 708)",Network,Medium
"High network latency detected reported by several employees, this is a needs attention issue (ticket 709)",Network,Medium
"LAN connection is not detected affecting critical business operations, this is a blocking operations issue (ticket 710)",Network,High
"LAN connection is not detected since this morning, this is a needs attention issue (ticket 711)",Network,Medium
"Network outage reported affecting critical business operations, this is a affects productivity issue (ticket 712)",Network,Medium
"Internet connection is very slow on the office laptop, this is a needs attention issue (ticket 713)",Network,Medium
"Cannot connect to WiFi network reported by several employees, this is a low impact issue (ticket 714)",Network,Low
"Packet loss occurs frequently intermittently throughout the day, this is a blocking operations issue (ticket 715)",Network,High
"Internet connection is very slow since this morning, this is a occasionally issue (ticket 716)",Network,Low
"LAN connection is not detected affecting critical business operations, this is a moderate impact issue (ticket 717)",Network,Medium
"LAN connection is not detected on the office laptop, this is a low impact issue (ticket 718)",Network,Low
"High network latency detected reported by several employees, this is a affects productivity issue (ticket 719)",Network,Medium
"VPN connection keeps disconnecting since this morning, this is a needs attention issue (ticket 720)",Network,Medium
"High network latency detected during peak working hours, this is a occasionally issue (ticket 721)",Network,Low
"VPN connection keeps disconnecting for multiple users in the same department, this is a occasionally issue (ticket 722)",Network,Low
"LAN connection is not detected after recent configuration changes, this is a minor issue (ticket 723)",Network,Low
"High network latency detected after recent configuration changes, this is a non-critical issue (ticket 724)",Network,Low
"Internet connection is very slow during peak working hours, this is a non-critical issue (ticket 725)",Network,Low
"Network outage reported during peak working hours, this is a affects productivity issue (ticket 726)",Network,Medium
"Network outage reported on the office laptop, this is a moderate impact issue (ticket 727)",Network,Medium
"Cannot connect to WiFi network intermittently throughout the day, this is a needs attention issue (ticket 728)",Network,Medium
"Cannot connect to WiFi network when connected to office network, this is a affects productivity issue (ticket 729)",Network,Medium
"Network outage reported when connected to office network, this is a occasionally issue (ticket 730)",Network,Low
"High network latency detected reported by several employees, this is a minor issue (ticket 731)",Network,Low
